site	sam1	sam2	sam3	sam4	sam5	sam6	sam7	sam8	sam9	sam10
1	100	76	100	93	100	90	84	87	89	92
2	100	72	100	93	100	90	93	87	80	92
3	95	73	100	100	100	91	82	86	82	100
4	93	86	100	100	84	84	90	87	82	98
5	100	84	100	100	100	93	88	86	86	92
6	100	75	100	100	100	90	88	86	83	100
7	-	-	-	100	-	-	-	86	-	-
8	82	82	-	88	-	-	76	55	75	75
9	86	80	-	92	-	-	74	55	73	-
10	90	74	-	100	-	-	84	64	81	78
11	83	80	88	94	-	-	74	76	76	65
12	89	78	78	100	-	-	86	93	93	87
13	80	81	85	100	-	-	81	79	79	84
14	80	79	89	100	-	-	81	-	-	-
