site	sam1	sam2	sam3	sam4	sam5	sam6	sam7	sam8	sam9	sam10
1	17.8	21.5	21.3	19.6	16.9	18	17	18	18.1	16.2
2	17.8	21.7	20.9	19.6	16.3	19.9	15.9	18	20.3	16.2
3	17.5	22.5	18.6	19.1	15.8	17.3	18.2	18	19.2	16.2
4	17.2	21.1	17.9	18.3	19.2	19.5	15.9	18	20.2	15.5
5	17.4	21.6	18.6	18.2	17.4	19.8	16	18	20.1	16.5
6	17.4	21.24	17.4	18.3	17.4	19.8	17.1	18	21.1	15.1
7	-	-	-	18.3	-	-	-	18	-	-
8	17.5	20.1	-	16.5	-	-	13.2	17.5	21.7	19.8
9	16.5	20	-	16.8	-	-	17.3	17.5	20	16.4
10	17.5	21.1	-	16.2	-	-	16.2	17.8	20.5	16.4
11	17.5	19.89	21.7	16.8	-	-	16.4	18	19.7	18.8
12	17.2	21.1	21.7	15.4	-	-	16.3	18	18.2	14
13	18.6	20.19	19.3	15.3	-	-	16.4	18	19.2	13.6
14	18.3	19.8	18.3	15.3	-	-	16.4	-	-	-
